,한줄평,기업성장여부
176,"팀리더의 보고에만 의존하는 평가체계, 열심히 일 할 기회조차 주어지지않는 환경.",정체
177,"셀수없다. 연차도 맘대로 못쓰고 관리자는 진짜 극소수를 제외하고 하나같이 쓰레기. 놀라울 정도로 일관되어서 혹시 이 회사 관리자의 기준은 인쓰인지 의심하게 된다.
그 중에서도 법으로 형벌받을 수 있다면서 이에 대헌 사원 보호 대책이 1도 없다. 미친 회사.",정체
178,"업무 강도가 하드할 수 있으며, 일을 못하는 사람이라면 적응이 힘듬",정체
179,어느 회사든 비슷하겠지만 동료들의 수준의 편차가 너무 심합니다. 때로는 같이 일하기 힘들 정도의 수준의 동료 또는 선배로 인해 역량이 특출난 동료가 그만두거나 의욕을 상실합니다. 스타트업으로 초창기에 채용에 신중하지 못했다는 생각이 듭니다. '최고의 복지는 좋은 동료와 일하는 것' 이라는 말도 있습니다,정체
180,개발자가 많아서 특출나지 않은 이상 직급상승이 힘든 것 같구요. 기업의 단점은 아닌데 출근할때 너무 힘듭니다. 대중교통에 사람이 너무 많구요. 자차 운전해서 가기도 힘든 것 같습니ㅏㄷ.,정체
181,"변경사항? 잦은 변화가 임시방편이라는 생각이 들게 함
좀 더 장기적인 관점에서 접근하길.......",정체
182,"소수의 몇 사람이 좌지우지해서 상명하복 심하고, 내부 정치 신함. 원년멤버나 오래된 사람 우선하는 문화 있어서 새로온 사람이 적응하기 쉽지 않음. 일당백하는 경우도 있고, 경력자는 연차에 비해 잡무를 많이 시키시도 함. 전문성, 경력을 체계적으로 쌓기 어려움. 조직이 전반적으로 너무 감정적이라 ‘좋다, 싫다’가 판단 기준이 되기도 함",정체
183,분위기가 워낙 자유로워 가끔 절차가 모호해서 입장이 애매해지기도함. 확실히 영업직이라 신규 사업장 발굴때 여러 자영업자들을 만나는게 힘듦,정체
184,"구성원이 1000명이 넘어간 걸로 알고 있는데, 업무 및 의사결정의 체계가 아직 갖춰져 있지 않고 그로 인해 프로젝트 진행에 있어 우선순위와 일정이 자주 바뀌어 실무자가 고생을 많이함.
사업 및 프로젝트를 정치적으로 이용하는 사람들이 다수 팀장이상급에 포진되어 있음. 수평적인 조직문화를 만들고자 하지만 이런점이 수직적인 문화를 야기하고 눈치보기 혹은 줄타기를 안할수 없게함.
워라밸.... 팀마다 다르지만 내가 소속된 팀에서는 살인적이었음.",정체
185,"지방근무, 젊은 기업엔 젊은 꼰대가 있기 마련, 빠른 결정에 할일이 많음",정체
186,"수신이 우선이기에 변경되거나 신설되는 내용 있더라도 콜 많은 때는 보수교육 뒷전, 유인물로 대체되는 경우 허다, 휴무라도 업무 메신저 소홀히 항 수 없음(변경되는 부분 숙지 못 하고 업무 투입 가능성)",정체
187,분위기가 워낙 자유로워 가끔 절차가 모호해서 입장이 애매해지기도함. 확실히 영업직이라 신규 사업장 발굴때 여러 자영업자들을 만나는게 힘듦,정체
188,"능력 없는 고인물들이 팀장 이상급으로 너무 많고, 오래된 사람들 우선주의가 있음. 능력 있는 새로운 사람들이 일을 해나가기 쉽지 않음. 이미지랑 달리 소통 안됨",정체
189,연차 눈치 안보고 써야될 만큼 일이 많음. 회사 내 일 열심히 하는 부서와 그렇지 않은 부서의 차이가 매우 심함. 똑똑한 직원이 많이 없음. 공무원같은 직원이 많음. 개발자들이 블라인드에 너무 짜증나는 소리를 많이함.,정체
190,하지만 팀별로 분위기가 너무 케바케라...잘못걸리면 난감함,정체
191,"특정 팀만 분위기가 좋고, 꼰대문화가 아직도 많이 남아있다. 드러나지 않는 꼰대문화로 많은 사람들이 팀내에 불만을 가지고 있는 것 같다.",정체
192,"신규라이더, 기존라이더에 대한 배달료 차이가 있고 기존 라이더에 대한 지원이 부족 함",정체
193,수평적인 문화. 각자의 목소리가 중요시 되다 보니 정작 중요한 결정을 할 때 의견이 갈리면 한 곳으로 집중하는 의사결정이 어려움,정체
194,문화가 좋은 만큼 열심히 일해야 함. 업무 평가에 있어서는 냉정한 편.,정체
195,정책이 문서화가 안되어있는경우가 많음. 무리한 일정 요구. 티내야 잘하는걸로 생각함,정체
196,빠른 결정에 걸맞는 빠른 번복. 열심히 하던 프로젝트가 엎어지거나 지연되는 경우가 빈번,정체
197,아이디어를 많이 내놓아야하고 힘든 사람은 어디에나 있기 마련,정체
198,"성과를 내야만 함 성과위주
스스로 성과를 낼 수있도록 끊임없이
고민하고 일해야함",정체
199,"인맥으로 업무처리되는 경우가 많음, 기회도 인맥으로 돌아가는 경우가 많음",정체
200,청년들은 아무 생각도 할 수 없음 내가 무언가 문제라 말하면 우린 그냥 시키는 대로 하면 되는 것이다 이미 그들이 고민한 부분을 너는 고민중이다 라고 답변함. 그럴거면 위키라도 공유해야 중복된 생각을 버리고 더 나은 생각을 할 것 아닌가.. 아니면 그냥 청년들의 생각은 듣기 싫은건가,정체
201,현재 사회문제에 대해서 뚜렷한 피드백없이 자연스럽게 넘어가려고 하는점이 평판을 안좋게 만들음,정체
202,회사의 체계가 아직 완전히 잡히지는 않은 듯함. 경력자들에게는 불만이 있을 수도 있다 생각.,정체
203,"일이 많다, 야근이 잦다, 팀별로 기업문화를 받아들인 정도가 달라 운이 없으면 정말 안좋은 팀에 배치될 수도 있음",정체
204,아직 어수선함이 남아있는 부분들이 았어 좀더 시스템화된다면 굿,정체
205,하지만 신규입사자가 친해지기 조금 어려운 분위기인 것에는 조금 동의. 회의가 너무 많아서 막상 일할 시간이 별로 없는 것이 단점.,정체
206,"개발직군에 몰아주는 연봉, 체계가부족함, 부서별근무강도차이심함, 계약,도급인력차별대우심함, 잦은 부서변경",정체
207,신규사업 추진을 적극적으로 하지만 안되겠다싶으면 빨리 접음,정체
208,"실제 퇴근시간은 솔직히 많이 늦어질 수 밖에
내가 모자라서겠지만...
컨펌이 굉장히 주관적",정체
209,체계적인 시스템 도입보다 회사가 너무 빨리 성장하여 보이는 단점들이 있음,정체
210,"스타트업 기업이기 때문에 야근이 필요할 때도 있고, 해야할 일이 많다",정체
211,연봉이 그렇게 높지않으며 발전중이라 난잡한 면이 있습니다,정체
212,정리가 안되면서 빨리 커버린 느낌이라 잘 정리가 되어야할것같다,정체
213,너무 많은 사내 이벤트로 인하여 업무 집중도가 떨어진다. 보여주는 것에 치중되어 있는 것들이 많다. 학교 동아리 같은 분위기가 오히려 역효과가 많다.,정체
214,"비효율적인 업무체계
분위기는 자유롭지만 업무효율은 대기업만큼 떨어짐
높은 직급 분들이 역량이 안되는 사람이 있음",정체
215,단점은 없었지만 굳이 단점을 뽑자면 나와 맞지 않았음.,정체
216,회사가 대외적으로 자랑하는 수평적이고 자유로운 근무 환경은 타 부서에게나 적용되는 것들이었음. 회계팀은 야근을 밥 먹듯이 함. 타부서도 인정하는 야근이 일상인 팀. 일에 체계가 없고 주먹구구식. 상사들의 편협한 시각으로 소수의 의견이 다수의 의견이 됨.,정체
217,퇴사를 자극할 정도로 답답한 의사결정이 많음. 사공이많아 배가 산으로가는지 바다로 가는지 궁금한 경우도 많음. 조직내 리뷰가 존재하지만 위로 리뷰하는 제도는 없음.,정체
218,"첫 번째는 스타트업기업이다보니 정리되지 않은 체계의 일을 하게되는 경우가 종종 발생합니다 그러다보니 적응하는데 시간이 좀 걸리기도 합니다
두 번째는 매월 막바지에는 일이 몰려 바쁩니다.",정체
219,"성과급이 없음 (장점이 될수도. 나름 철학이 뒷받침되는 제도임)
국내 위주의 사업이므로 해외 출장을 가게 되는 업무를 할 시 해외출장 일정을 짜는데 있어서 눈치를 보는 듯. (엄청 빡세게 잡음)
사업 추진 속도가 매우 빨라 적응하지 못하면 힘듦 (매우 잦은 조직 변경, 계열사 처분 등)",정체
220,"- 스타트업에서 갑자기 커져서 그런지 각종 시스템이 미비하고, 쓸데 없이 공수 드는 일이 많아 시간 대비 비효율적으로 일한다

- 야근도 많음 (야근비 25,000원)

- 무리 지어 다니면서 꼰대질+갑질하는 무식한 사람들이 많다 (=우리 팀)

- 팀장 자격 없는 사람이 팀장을 하고 나머지는 열심히 싸바싸바하면서 다 함께 말아먹는 중 (팀 복불복 최고인 회사)

- 겉 보기에는 젊고 재미있고 화려한 회사이지만 데이터, 체계 등이 그냥 없다고 보면 됩니다


여러분, 부디 SNS 환상에서 벗어나시고 새로운 마음으로 기업을 찾아보세요.",정체
221,먼저 낮은 연봉이 가장 큰 단점이라고 생각합니다. 또한 현재 크고 있는 기업이기 때문에 아직 체계가 약간 부족합니다.,정체
222,젋은 기업이라서 말이 많고 컨설팅 기업이미지가 강한 기업이다. 조직원들이 어리고 아직은 체계적으로 업무를 진행하지못하는 기업이다.,정체
223,업무 강도가 조금 강하게 느껴질 수 있어 힘들어 하는 사람은 무척 힘들어 하는 모습을 보았다. 급여수준이 높다고 생각이 되지는 않았고 가끔 편가르기를 하는 사람도 보이는것 같았다.(느낌상),정체
224,"급속도로 성장하는데에 비해 개선되지 않는 옛날 프로세스들과 개선되지 않는 점
빠르게 이루어지는 결정들로 결과 등에 대해 보람을 느끼지 못할 때가 많음",정체
225,야근을 강요하지 않고 휴가쓰는 것에 눈치보지 않으나 일이 많을 땐 많다. 자발적이지만 불가피한 야근은 간혹.,정체
226,업무시간에는 업무만 하기를 원하는 사람은 힘들 수 있음. 실제로 그래서 퇴사하는 사람도 많음.,정체
227,높은 층수 /엘리베이터 타기에 협소. 잠실 바로 옆인 몽촌토성 역에 위치하여 출퇴근 시간에 지하철 번잡한 것이 유일한 스트레스였음. 알바생 기준에서 업무를 통해 받은 스트레스는 딱히 없었음.,정체
228,1. 폐쇄적인 문화: 결속력이 중요한 조직 문화다 보니 구성원들과 캐미가 터지지 않은 성격의 소유자는 적응하기 힘들다. 2. 야근이 많다. 3. 초기 직원들의 이직률이 꽤 높다. 4. 수직 문화: 직급체계가 확실해서 불편하다.,정체
229,일이 많다. 한달이 지나가기도 전에 너무 많은 게 달라지고 그걸 따라가기에 급급.,정체
230,생각보다 높은 업무강도 의사결정이 수시로 변경되는 경향,정체
231,"어딜가나 홍보 마케팅직렬은 일이 많다
야근 고려해봄
돈을 많이 준다는건 그만큼 일이 많다는것",정체
232,자기일만 해도 되서 친목도모가 안되는 회사로 정치가 심함,정체
233,"- 오래되지 않은 회사라 여러부분에서 정해지지 않은 것들이 있음
- 자주 바뀌는 의사결정",정체
234,"눈치보지 않고 퇴근은 할수 있으나... 일이 겁나~~~~~~~~~~~ 많다(부문/팀별로 다를수 있으나..). 변화와 성장이 빠른만큼 의사결정 번복이 잦아 여긴어디 나는누구? 하는 경우가 더러 생긴다.
업무에서 정치는 어딜가나 빼놓을수 없지만, 이사레벨에서의 경쟁구도가 너무 심해서 정작 실무자들이 난감한 경우가 많다.
(우리회사 규모에 이사가 너무 많다........ )",정체
235,"전체적인 직군을 보았을때 초창기부터 근무하던 사람들은 텃새가 없음 오히려 1~3년차 정도 사람들이 텃새가 강함 그래서인지 처음에 들어오신 분들 중 몇몇 분들은 중간에 퇴사. 그리고 새로 바뀐 이사들은 자신이 뽑은 새로운 팀장, 선임들에게 힘을 주려 위에 언급한 잘못된 일을 포함해 침묵함 그래서 초창기 근무한 사람들이 하나 둘 떠남..",정체
236,출근 시간이 아침 9시로 정해져 있어 부담스러웠습니다.,정체
237,대표아래 인간들중에 사람 아닌놈들이 많이 들어와서 회사 분위기 다 망쳐놈,정체
238,자유가 보장된 만큼 책임져야하는 것도 당연히 따른다. .,정체
239,"생각했던것 만큼 자유로운 분위기는 아니였다.
업무량이 많다.",정체
240,"각종 회의, 문서 등 일을 위한 일이 많고 야근이 잦다",정체
241,재무구조는 탄탄하지만 대기업이나 시장 흐름에 따라 사업구조가 급변할수있기 때문에 뒤쳐지지 않게 흐름을 잘 따라가야 할것같습니다.,정체
242,신생부서가 자리잡을때 체계가 없어서 힘들다는 느낌이 들었다 많은 회사들을 인수하면서 제대로된 조직이 자리잡지 못했던 느낌,정체
243,하지만 속은 똑같은 헬조선식 한국문화 무기계약직으로 들어가서 정규직된 사례는 많은게 장점,정체
244,"영업사원 1명당 약 200명의 업주 관리
밤낮, 주말없이 매일 울리는 휴대폰
고객센터에서 일처리가 잘 되지 않아 영업사원들이 잡일 많이 함
인센티브 없음
실적 압박 있음",정체
245,신규 입사자가 기존에 있는 사원들과 어울리기 조금 부담스러운 분위기이다.,정체
246,업무량이 많아 과도한 야근으로 지침 직원에 대해 지원이 적다,정체
247,"단결럭이 강해 조금은 소외감을 느낄수도 있습니다
완전히 어울리기에는 조금 시간이 걸려요",정체
248,업무가 힘들고 인센티브가 없지만 살아있음을 느끼게 해주는 회사. 함께하기에 소통이 안되면 더어려울수있음,정체
249,"스타트업도 대기업도 아닌 그 중간을 걷고 있는 과정으로, 실무자들이 고생이 많음. 많은 인원 충원으로 배민문화가 위태로워 보임(그러나 많은 이가 유지하려 노력하고 있기에 쉽게 무너질 거 같진 않음)",정체
250,스타트업이다보니 업무 프로세스가 잘 안잡혀있음 신규입사자도 많고 퇴사자도 많은듯하다,정체
251,"아직 스타트업의 전형적인 시행착오 단계, 자유로운 기업문화를 가지고 있긴 하나 눈치가 좋아야 살아남을수 있음",정체
252,"생각보다 연봉이 높은편은 아님, 야근도 적당히 존재하고 (팀마다 다르겠지만)",정체
253,업무가 힘들고 인센티브가 없지만 살아있음을 느끼게 해주는 회사. 함께하기에 소통이 안되면 더어려울수있음,정체
254,"스타트업도 대기업도 아닌 그 중간을 걷고 있는 과정으로, 실무자들이 고생이 많음. 많은 인원 충원으로 배민문화가 위태로워 보임(그러나 많은 이가 유지하려 노력하고 있기에 쉽게 무너질 거 같진 않음)",정체
255,"부서별 연봉 차이가 심하게 남. 성과급 없음. 떡값 없음.
회사에 임원이 너무 많음. 싱글 남성에게는 복지가 없음.",정체
256,좀 특이한 사람들이 많다 그렇다고 나쁜건 아니고.. 그리고 식대포함이 아니고 야근이 좀 있다. 물론 자기가 다 원해서 하는 것이지만 업무량이 많을 땐 스스로 하는 것,정체
257,"배달의민족과 우아한형제들의 브랜드 이미지에 비해, 내부 업무 프로세스 엉망.
부서에 따라 다르겠지만 업무가 많고, 업무가 많은것이 기본 어드민이나 내부 프로세스때문에 생기는 경우가 많음",정체
258,"아무리 큰 회사가 되었다고 하더라도 스타트업이다보니 사람들의 입 퇴사가 잦은 편, 매우 자유로운 분위기로 인해 어느 정도 산만한다고 느낄 수 있음. 업무에 집중하기 위해서 노력이 필요함. 그런 배려는 회사차원에서 잘되어 있음.",정체
259,"이끌지도 따르게 하지도 못하고 사람을 비키게만 하는 곳으로 변모해감.
결정 내린 자가 책임지지 않고 실행한 자가 책임진다.
그 결정은 약 2~3분 내에 얼마든지 번복될 수 있으며 그 또한 책임은 실행한 자가 져야한다.

정규직과 기타직은 다른 별의 존재.
회사에서 강조하는 좋은 가치는 그들만의 리그이며 외부직은 갑질 및 책임전가대상. 리더 중 아무도 책임지려하지 않는다. 장애가 터져 피해를 입어도 격려를 건네지 않는다. 사람보다 책망이 먼저다.
사실관계보다 대표님 행간, 한마디가 더 중요하다.

카리스마있고 용단을 내리던 리더가 부재하게 되면서 저질피드백으로 업무질을 떨어뜨린다. 높은 직급을 주는 기준이 실력과 성과가 아니라는걸 알 수 있다(적어도 본 부서는 그렇다). 겸손하며 성실근면한 인재를 원한다고 하나 운영진이 그렇지 못함. 성실한 부분은 근태만인듯 하다.
외부와 내부 이미지 갭이 매우 큰 회사.",정체
260,일부 예전 사람들의 꼰대노릇. 야간 작업 이후에도 반드시 지켜져야하는 문제의 9시 칼출근,정체
261,"계속 바뀌는 사업목표 및 기준, 단기적으로 성과가 나오지 않으면 목표와 기준이 수시로 바뀐다, 아무리 회의를 해도 위의 결정이 바뀌지 않는다, 경력직들 중 꼰대들이 종종 보인다.",정체
262,"프리한거 같지만 프리하지 않다.
대외적으로 보여지는 기업 이미지때문에 겉으론 다들 너무 좋은 회사에 즐겁게 다니는 직원들처럼 보이려고 애쓰지만 알고보면 불만투성이다.
이상한 행사가 너무 많다.
정직원과 계약직/외부직원들 차별 없다고 하지만 차별이 존재한다.",정체
263,회사 규모를 키우려고 하다보니 근무가 많은것같음. 사내문화가 독특해서 적응 못하는 경우도 있다고 함.,정체
264,"정규직과 계약직(파견직) 사원간의 갭이 크다. 회사가 ""우리는 좋은회사야""라는 것에 강박관념이 있는것 같다. 중간중간에 행사같은게 많다. 별로 하고싶지도 공감가지도 않지만 정규직원 또는 관리자급 사원들은 애써 즐거운척 참여한다.",정체
265,"야근수당이 정해져있음, 처음에 놓친 부분에 대한 이슈가 추후에 드러나면 해결하기 바쁨",정체
266,회사 규모를 키우려고 하다보니 근무가 많은것같음. 사내문화가 독특해서 적응 못하는 경우도 있다고 함.,정체
267,"정치인들이 많은데, 그분들로 인해 고통받은 직원들의 고충은 외면당하는 느낌?",정체
268,"프로세스 부족, 대기업출신 경력자들이 프로세스를 잡고 있지만 기존 재직자들의 역량이 부족함, 피플팀",정체
269,각자 컴퓨터 보고 일해서 조금 개인주의적인 느낌이 들고 콜을 잡는 게 스트레스 받을 수 있음.,정체
270,직급과 연봉의 기준을 모르겠다. 레거시들이 발목을 잡는 경우가 많다.,정체
271,업무의 능력으로 승진하는것이아닌 해당파견사의 높은사람이와서 업무도 모른상태로 일을진행함 업무능력으로 사람을 승진시키지않아 발전가능성없음,정체
272,자유로운 분위기를 즐기다 자칫 본인이 해야 할 업무를 놓칠 수 있다. 빠르게 성장해 나가는 기업인 만큼 업무량도 많은 편,정체
273,복지제도가 다양하나 사용 시 눈치보거나 실또는 부서마다 이용할수 있는 제도가 국한됨. 실무진은 업무량 많고 회의도 많음. 회의만 하다가 하루 다 잡아먹고 야근해야하는것도 문화라면 문화.,정체
274,"-일이 많아 종종 야근을 하는 것은 어쩔 수 없나 봅니다
-보다 효율적인 업무 분담이 필요하지 않을까요",정체
275,"성장과정이다 보니 절대적인 일의 양과 더불어 회사 내 이슈도 많으며,
사람 위주로 일이 돌아가다보니 일하는 사람만 일하는 구조임.
인센티브제도가 없다 보니 금전적인 성취감이나 만족도는 다소 떨어짐.",정체
276,자유로운 분위기지만 업무를 실행하는데 있어서 이런 분위기가 안 맞는 사람이 있을 수 있음. 다양한 회사 문화를 가지고 있는데 이런 것들이 사람에 따라 귀찮을 수가 있음. 강제가 되기도 함.,정체
277,"너무 자주 바뀌는 영업부서 시스템
최근 들어 심해진 실적 압박
서울 본사 영업팀 내의 균열
정확한 가이드라인이 없는 영업 시스템
영업 사원 한명이 사장님 500명 이상을 관리해야함
시도때도 없이 울리는 휴대폰
성질 급한 업주들 비위 맞춰 줘야함
회사에서 차량, 영업용 휴대폰 지원 안 됨",정체
278,업무량이많고 아직 시스템이나 프로세스가 정착되지않아 부수적인 업부가 많습니다,정체
279,"직원복지에 많이 신경을 쓴다해도
스타트업으로 시작된 거고, it같은 핵심적인 전문직무가 아니면 이직할때 그닥 +가 될거 같진 않음",정체
280,전문경영인이 없음. 회사가 성장하기 위해서는 경영에 대한 전문지식이 있는 CEO가 필요할듯,정체
281,부서마다 느낌이 다르겠지만 조직장의 의견에 따라 밑에 사람들의 의견이 흔들려 수정해야하는 상황이 많다. 수평적이라고 하지만 기업이 커지면서 수직적으로 바뀐 상태. 그래도 다른 회사보다는 경영진이 많이 들어주려고 하는 편.,정체
282,업무량이많고 아직 시스템이나 프로세스가 정착되지않아 부수적인 업부가 많습니다,정체
283,"직원복지에 많이 신경을 쓴다해도
스타트업으로 시작된 거고, it같은 핵심적인 전문직무가 아니면 이직할때 그닥 +가 될거 같진 않음",정체
284,업무 강도 매우 높음. 유명하지만 아직까진 벤처라 일이 매우 많음. 야근이 일상.,정체
285,"야근이나 주말근무가 필요하기도 하고, 하는것이 문제가 되는것은 아닌데 추가근무를 하는것에 대한 보상이 없다. 책이 무제한 지원이긴 한데 제약조건이 너무 많다.",정체
286,지나치게 수직적이고 정치가 심해짐 그리고... 내부 직원들끼리.. 뒷 말이 너무 심함.. 단점 없는 기업이 있을 까 싶지만.. 여긴 좀 심한 듯.,정체
287,"스타트업 회사의 특징 상 야근이 잦고, 매우 빠르게 변화하고 새 서비스가 탄생한다",정체
288,스타트업은 스타트업이라 그런지 체계가 없다. 야근이 심하다.,정체
289,"아직 업무가 체계적이지 못하고 일이 많다. 대외적으로 많이 알려 지긴 했지만, 아직까진 벤처라고 생각함. 벤처기업 치고는 연봉이 그리 낮진 않지만, 그래도 네임밸류나 알려진것에 비해 낮음.",정체
290,정착되지 않아 변화가 많음. 한가지 일에 집중하기 보다는 이것 저것해야할 경우가 많음,정체
291,"스타트업 회사의 특징 상 야근이 잦고, 매우 빠르게 변화하고 새 서비스가 탄생한다",정체
292,"1. 전 직원이 지나치게 야근을 디폴트화 하고 있으나, 업무 프로세스 개선 등을 통해 이를 개선하려는 의지가 전혀 없음.
퇴근시간이 6시 반이나, 그 시간에 아무도 안일어나는 게 당연한 사태가..

2. 지나친 야근으로 인해, 모두가 '이건 뭔가 잘못되었다'라는 인식을 하고 있지만, 책상을 엎기 힘든 문화로 인해 다들 그냥 일을 하게 됨.

3. 하루종일 회의만 하다가 자리에 앉으면 6시, 그때부터 메일들이 오기 시작함.

4. 다들 일하기에 바빠서, 개인적인 업무역량 등을 키울 기회가 별로 없음. 그냥 달리기에 바쁨. 개인적으로 이 점이 제일 아쉬웠음..",정체
293,출퇴근 시간이 매번 바뀌고 지원 근무를 해야해서 힘듬,정체
294,"아직 전반적으로 구조나 시스템 세팅이 완전하지 않아 기본적으로 회사에서 제공되는 것들(매뉴얼, 비품, 지원 등)이 없는 경우가 있음
밝고 친절하며 많은 것을 공유하는 조직 분위기가 맞지 않다면 소외감을 느낄 수 있음",정체
295,잘나간다고 대기업 수준의 연봉을 기대하면 실망..,정체
296,"일과 삶의 균형이 맞지 않는다. 급변하는 시장에서 헤쳐나기기 위해 강요하지 않지만, 각오하지 않으면 자율적 야근은 살인적일 때가 있다. 그리고 사내문화에 어울리지 않으면 견디기 어려울 수 있다.",정체
297,잦은 야근으로 자기만의 시간을 갖기 어려움,정체
298,"회사 밖에서 보여지는 자율적인 모습과 반대되는 통제된 분위기
업무 알앤알 구분도 되어있지 않은 중구난방식 업무 스타일
직원을 쉽게 보는 회사 (누군가 그만둬도 지원하는 사람 많으니 안맞으면 나가라 마인드)",정체
299,딱히 없음. 회사가 좋아서 여기 있다가 이직하실때 오히려 다른 회사에 적응못할 수있다는게 단점,정체
300,대기업처럼 체계적으로 시스템이 많이 갖추어지지는 않았어요. 그래서 지금 열심히 만들만들하고 있는 단계지요. 그게 불편하다면 불편할 수 있어요.,정체
301,"로테이션 근무
교육 커리큘럼의 체계가 잡혀있지 않음",정체
302,아이티는 어쩔수 없다. 업무량대폭발. !!!! 그래도 야근은 종종 철야는 아주아주 가끔있는일@!,정체
303,편하게 놀거라고 생각하고 오면 당황할 수 있다.,정체
